titulo,descricao,ano_lancamento,duracao,avaliacao,votos
85. Das Boot,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,1981,2h 29m,8.4,267K
86. Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,1957,1h 56m,8.4,141K
87. Paths of Glory,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.",1957,1h 28m,8.4,216K
88. The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940,2h 5m,8.4,240K
89. High and Low,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,1963,2h 23m,8.4,55K
90. Sardar Udham,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",2021,2h 44m,8.4,48K
91. Kaithi,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",2019,2h 25m,8.4,44K
92. Asuran,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",2019,2h 21m,8.4,34K
93. Drishyam 2,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,2021,2h 32m,8.4,42K
94. Oppenheimer,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,2023,3h,8.3,796K
95. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1964,1h 35m,8.3,524K
96. American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999,2h 2m,8.3,1.2M
97. Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,2000,1h 42m,8.3,913K
98. Good Will Hunting,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997,2h 6m,8.3,1.1M
99. 2001: A Space Odyssey,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",1968,2h 29m,8.3,731K
100. Scarface,"Miami in the 1980s: a determined criminal minded Cuban immigrant, becomes the biggest drug smuggler in Florida, and is eventually undone by his own drug addiction.",1983,2h 50m,8.3,933K
